ref,kg_per_unit,source
A40BL287,0.115054,cvu
A40BL290,0.124022,cvu
A55BL172,0.102857,cvu
K20BL155,0.032571,cvu
KF4032T11GO152TE,0.081373,cvu
KP2032T11GO152TE,0.091238,cvu
NJ100Q21JNT155,0.142972,cvu
NK100Q46JNT155,0.155600,cvu
NN065Q66JNT155,0.105192,cvu
TJ080Q21JNT155,0.125957,cvu
TJ085Q22JNT157,0.132126,cvu
WC090Q11JNT162,0.151910,cvu
WC090Q11JNT165,0.152805,cvu
WD038Q46JNG163,0.065889,cvu
WD038Q46JNT159,0.063444,cvu
WD038Q46JNT163,0.064394,cvu
WD038Q46JNT168,0.064436,cvu
WD038Q46JNT175,0.061203,cvu
WD040Q46JNT159,0.064800,cvu
WJ038Q22JNT160,0.063450,cvu
WJ040Q22JNT195,0.080835,cvu
WJ042Q22JNT155,0.065681,cvu
WJ042Q22JNT160,0.069199,cvu
WJ045Q22JNT160,0.075690,cvu
WJ053Q22JNT142,0.079727,cvu
WJ053Q22JNT150,0.086207,cvu
WJ053Q22JNT155,0.083322,cvu
WJ053Q22JNT160,0.084209,cvu
WJ060Q21JNT157,0.098510,cvu
WJ060Q21JNT160,0.100871,cvu
WJ060Q21JNT168,0.100343,cvu
WJ070Q46JBL165,0.138514,cvu
WJ075Q22JNT155,0.106856,cvu
WJ110Q21JNT155,0.166266,cvu
WK120Q46JAZ155,0.189718,cvu
WK260R46JNG155,0.397559,cvu
WN055Q66JNT172,0.091898,cvu
WN070B66JNG155,0.107423,cvu
WN135Q21JBL154,0.221418,cvu
WN135Q21JNT154,0.211079,cvu
WQ070Q21JBL166,0.120221,cvu
WQ070Q21JNT155,0.117479,cvu
WQ070Q21JNT155.,0.111557,cvu
WQ070Q22JNT155,0.111268,cvu
WR140Q67JRO160,0.236463,cvu
WT125Q21JNT155,0.202729,cvu
WT140Q21JNT155,0.231273,cvu
XJ140Q21JNT162,0.241099,cvu
XJ140Q21JNT165,0.227121,cvu
XJ24521JAZ174165,0.346048,cvu
XT22647JAZ174160SU,0.367103,cvu
A70BL155,0.108500,manual
AT9032BL152,0.109400,manual
AT9032BL152 I,0.109400,manual
TJV9532NT152SR,0.155000,manual
WD038Q46JBL166,0.063100,manual
WD038Q46JNG166,0.063100,manual
WD038Q46JOW166,0.063100,manual
WJ038Q22JNG174,0.066100,manual
WM4032OW152,0.065400,manual
WM4032PR152,0.065400,manual
WM4032RP152,0.065400,manual
WN4032BL152,0.107200,manual
WNS403266BL152,0.094600,manual
WNS403266NG152,0.094600,manual
WNS403266OW152,0.094600,manual
WNY4032BL151,0.207900,manual
WNY4032NG151,0.207900,manual
WNY4032NT151,0.207900,manual
WP4032GO152,0.077400,manual
WP4032HU152,0.077400,manual
WP4032OW152,0.077400,manual
WP4032RO152,0.077400,manual
WR17066JNG002163,0.277100,manual
WR4032BL152,0.092900,manual
WR4032NG152,0.092900,manual
WTT403266BL152,0.120400,manual
WTT403266NG152,0.120400,manual
XJ14021GO165,0.231000,manual
ZN4032BL152,0.063100,manual
ZN4032NG152,0.063100,manual
ZN4032OW152,0.061900,manual
